Nha_thuoc,Dia_chi,dien_thoai
NT Thùy Trang - NDD:Nguyễn Trần Thị Huyên,"291 Tiểu La,, Hòa Thuận Tây, Hải Châu, Đà Nẵng",0935219172
NT Tường Vân,"Số 132, Lý Tự Trọng, Thuận Phước, Hải Châu, Đà Nẵng",0342518583
NT Thiên Ân,"DT602, Thôn An Ngãi Đông, Hòa Sơn, Hòa Vang, Đà Nẵng",0708045139
Hủy - Nhà Thuốc An Tâm,"220 Nguyễn Lương Bằng,, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0913433422
Hủy - Nhà thuốc Phùng Hưng 2- DS Võ Thị Kim Loan,"892, Tôn Đức Thắng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0905635207
Nhà thuốc Dapharco 79,"844, Nguyễn Lương Bằng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0945132577
Nhà thuốc Nguyên Phúc,"187 Hồ Tùng Mậu, Hòa Minh, Liên Chiểu, Đà Nẵng",0905487742
Nhà thuốc Sa An,"236, Hoàng Văn Thái, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng",0946755552
NT Ân Đức,"Số 220, Nguyễn Lương Bằng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0909355900
NT ánh Dương,"Số 418, Âu Cơ, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0907855070
NT Kiệm - DS Huỳnh Thị Kiệm,"Số 109, Tôn Đức Thắng, Hòa Minh, Liên Chiểu, Đà Nẵng",0326231470
NT Kim Phi 3,"101, Hồ Quý Ly, Hòa Minh, Liên Chiểu, Đà Nẵng",0393950255
NT Lê Hưng 2,"Số 126, Kinh Dương Vương, Hòa Minh, Liên Chiểu, Đà Nẵng",0947940780
NT Nhật Hà,"Số 67, Phạm Như Xương, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng",0702672267
NT Thiện Toàn 1,"Số 44, Nguyễn Lương Bằng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0932552593
NT Thuỳ Dung,"42 Nguyễn Đình Trọng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0905318345
NT Minh Phúc 2,"Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",0988441891
NT Thái Sinh,"Số 126, Ngũ Hành Sơn, Mỹ An, Ngũ Hành Sơn, Đà Nẵng",0932545285
Nhà thuốc Hà Thiện,"24, Phùng Tá Chu, Mân Thái, Sơn Trà, Đà Nẵng",0984126269
Nhà thuốc Hồng Nguyệt - Dược sĩ Võ Thị Hương,"Số 21, Nguyêễn Phan Vinh, Thọ Quang, Sơn Trà, Đà Nẵng",0934822927
Nhà thuốc Khánh Ngọc,"260, Khúc Hạo, Nại Hiên Đông, Sơn Trà, Đà Nẵng",0936016861
Nhà thuốc Lương Phương,"Số 65, Nguyễn Duy Hiệu, An Hải Đông, Sơn Trà, Đà Nẵng",0906426266
Nhà thuốc Minh Hiền,"Số 333, Ngô Quyền, An Hải Bắc, Sơn Trà, Đà Nẵng",0932485074
Nhà thuốc Minh Trang,"số 51, Nguyêễn Phan Vinh, Thọ Quang, Sơn Trà, Đà Nẵng",0962326877
Nhà thuốc Nam Nguyên,"56B, Lê Văn Thứ, Mân Thái, Sơn Trà, Đà Nẵng",0903535652
Nhà thuốc Thiện Nhân,"856, Ngô Quyền, An Hải Bắc, Sơn Trà, Đà Nẵng",0905047457
Nhà thuốc Xuân Ngà,"Số 297, Ngô Quyền, Mân Thái, Sơn Trà, Đà Nẵng","0936299939, 05113848425"
NT Tâm an,"19C Trương Định,, Mân Thái, Sơn Trà, Đà Nẵng",0905812262
Quầy thuốc DAPHARCO 101 - DS Võ Thị Thủy,"Số 1104, Ngô Quyền, An Hải Tây, Sơn Trà, Đà Nẵng",0788618432
Quầy thuốc DAPHARCO 140 - DS Võ Thị Thọ,"Số 19, Phó Đức Chính, Mân Thái, Sơn Trà, Đà Nẵng",0905100610
Quầy thuốc DAPHARCO 141 - DS Võ Thị Phước,"An Hải Tây, Sơn Trà, Đà Nẵng",0768489624
Nhà thuốc Bảo Anh (cũ: Dapharco 58),"Số 47, Hà Huy Tập, Xuân Hà, Thanh Khê, Đà Nẵng",0914422115
Nhà thuốc Dapharco 44 - DS Nguyễn Thị Hồng Trinh,"Số 18, Đinh Tiên Hoàng, Tân Chính, Thanh Khê, Đà Nẵng",0905962777
Nhà Thuốc Hà Phúc,"Số 213, Hà Huy Tập, An Khê, Thanh Khê, Đà Nẵng",0905150392
Nhà Thuốc Hưng Phát,"381A, Lê Duẩn, Tân Chính, Thanh Khê, Đà Nẵng","0352989381, 05116503654"
Nhà thuốc Hùng Thịnh,"Số 152, Hà Huy Tập, Hòa Khê, Thanh Khê, Đà Nẵng",0924444445
Nhà thuốc Nguyên Thảo,"Số 122, Ông ích Khiêm, Tam Thuận, Thanh Khê, Đà Nẵng",0903591300
Nhà thuốc Phước Thành,"Số 83, Dũng Sỹ Thanh Khê, Thanh Khê Tây, Thanh Khê, Đà Nẵng",0914040423
Nhà thuốc Phước Thiện 6,"Số 133, Trần Cao Vân, Thanh Khê Đông, Thanh Khê, Đà Nẵng","0913494524, 02363553877"
Nhà Thuốc Tâm Châu,"362, Hải Phòng, Chính Gián, Thanh Khê, Đà Nẵng",0914620364
Nhà thuốc Vân Ngọc,"43, Huỳnh Ngọc Huệ, An Khê, Thanh Khê, Đà Nẵng",0396836627
NT An Hưng,"Số 337, Nguyễn Phước Nguyên, An Khê, Thanh Khê, Đà Nẵng",0903565698
NT An Huy,"441, Trường Chinh, An Khê, Thanh Khê, Đà Nẵng",0345321704
NT An Tâm 7,"285 Trần Cao Vân, Xuân Hà, Thanh Khê, Đà Nẵng",0913433422
NT Hạnh 3,"Số 339, Điện Biên Phủ, Hòa Khê, Thanh Khê, Đà Nẵng",0905233043
NT Phúc Khang - DS Hoàng Huy Hùng,"Số 296, Điện Biên Phủ, Chính Gián, Thanh Khê, Đà Nẵng",0763661276
NT Phước Thiện 8,"Số 125 Lý thái Tổ,, Thạc Gián, Thanh Khê, Đà Nẵng","0708025469, 02363525678"
NT Tâm Đức,"Số 282 Hà Huy Tập,, Hòa Khê, Thanh Khê, Đà Nẵng",0902600586
QT Số 5 - NDD: Ngô Thị Kiều Dung,"Thôn 15, Tân Hoà, Buôn Đôn, Đắk Lắk",0986994178
Quầy Thuốc Tây Số 2,"Tổ 2, Đắk Mâm, Krông Nô, Đắk Nông","0977154063, 0918291197"
Nhà thuốc Tuấn Hương,"SN 407, Tổ 8, Tân Thanh, Điện Biên Phủ, Điện Biên",0975178586
NT Hiền Tâm,"Số 96, Lương Văn Nho, Tân Phong, Biên Hòa, Đồng Nai",0902974571
NT Châu My - DS Trần Thị Kim Liên,"Số 157, Vũ Hồng Phô, Bình Đa, Biên Hòa, Đồng Nai",0907473596
NT Thiên Minh Phúc - DS Thới Sơn,"Số 327, Bùi Trọng Nghĩa, Trảng Dài, Biên Hòa, Đồng Nai",0868982159
NT Thu Thảo,"Số 71, Khu phố 2, Tân Phong, Biên Hòa, Đồng Nai",0845822739
NT Xuân Kiều - DS Hoàng Thị Minh Thủy,"53 Hoàng Bá Bích, Khu phố 4,, Long Bình, Biên Hòa, Đồng Nai",0913016101
Quầy thuốc 2042,"Hoàng Diệu, Xuân Thanh, Long Khánh, Đồng Nai",0769630763
QT Thanh Nhàn,"Ấp Bình Lâm, Lộc An, Long Thành, Đồng Nai",0963855339
QUẦY THUỐC NGỌC NGÂN,"Tổ 1, Ấp 3, Xã an phước, H Long Thành, T Đồng nai, hẻn 240, An Phước, Long Thành, Đồng Nai",0989499776
QT Phúc An Khang,"Số 2151, QL 20, Hố Nai 3, Trảng Bom, Đồng Nai",0931119839
Quầy Thuốc Khánh Phương,"Số 19A, Đông Hoà, Trảng Bom, Đồng Nai",0937369502
NT Hoàng Chương - DS Thái Anh Đức,"D768, Đường Đ768, Thạnh Phú, Vĩnh Cửu, Đồng Nai",0978203203
QT Ngọc Thoa,"Thạnh Phú, Vĩnh Cửu, Đồng Nai",0983413323
Quầy Thuốc Tâm Đức,"Số 333C, Ấp Tân Lộc A, Tân Dương, Lai Vung, Đồng Tháp",0917658773
NT Minh Phúc DS: Phùng Khắc Minh,"Số 258, Trần Hưng Đạo, 1, Sa Đéc, Đồng Tháp","0937787133, 02773862146"
Nhà Thuốc Tư Nhân Bigfamily Hoàng Thu,"Lô A3, Lê Hồng Phong, Đoàn Kết, Ayun Pa, Gia Lai",0338441590
QT Quang Điểm,"Số 100A, Lê Hồng Phong, Đoàn Kết, Ayun Pa, Gia Lai",0838810789
Nhà thuốc An Sinh,"Số 52, Tôn Thất Tùng, Phù Đổng, Pleiku, Gia Lai",0353343582
NT Hạnh,"Số 820, Phạm Văn Đồng, Yên Thế, Pleiku, Gia Lai",0948212237
NT Tây Trần Huy - DS Vũ Ngọc Bình,"Lô 18, Trường Chinh, Trà Bá, Pleiku, Gia Lai",0979820446
Nhà thuốc Vân Anh,"Tổ 6, Nguyễn Trãi, Hà Giang, Hà Giang",0964706655
NT Hải Đăng 2,"Số 485, Tổ 9, Nguyễn Trãi, Hà Giang, Hà Giang",0915876235
NT Tiến Vân,"Số 207, Nguyễn Thái Học, Trần Phú, Hà Giang, Hà Giang",0976085342
Công ty CPDP Bình Lục - Hiệu thuốc - QT số 2 - Quầy thuốc Tuấn Luyến,"Số 37, Triều Hội, Bình Mỹ, Bình Lục, Hà Nam",0906053244
hủy-QT An Bảo,"Xóm 6, Hưng Công, Bình Lục, Hà Nam",0855438328
NT tân dược - NT Phạm Thị Thúy,"Xóm 7, Tràng An, Bình Lục, Hà Nam",0363223430
QT Tâm Phúc,"Mỹ Đôi, An Mỹ, Bình Lục, Hà Nam",0978136075
Nhà thuốc Khánh Vân,"Khu Đô Thị Mới Đồng Văn, Đồng Văn, Duy Tiên, Hà Nam",0962619036
NT Bích Vân,"349, Nguyễn Hữu Tiến, Đồng Văn, Duy Tiên, Hà Nam",0943066692
QT Hùng Hà - Ds Nguyễn Thị Thu Hà,"Ngọc Động, Hoàng Đông, Duy Tiên, Hà Nam",0978020966
QT Hùng Ngân,"Chợ Đọi, Đọi Sơn, Duy Tiên, Hà Nam","0987669795, 0976811090"
QT Trương Minh Thìn,"Ngọc Động, Hoàng Đông, Duy Tiên, Hà Nam",0988546712
QT Tuyết Mai,"Chợ Lương, Yên Bắc, Duy Tiên, Hà Nam",0982333267
QTTN Khánh Hòa,"KĐT Mới , Đồng Văn, Duy Tiên, Hà Nam",0356228151
Nhà Thuốc Thúy Hằng,"QL 38, Nhật Tựu, Kim Bảng, Hà Nam",0366109012
Nhà Thuốc Chung Luân,"Chợ Hôm, Kim Bình, Phủ Lý, Hà Nam",0987306748
QT Hải Đăng,"TDP Quỳnh Chân, Lam Hà, Phủ Lý, Hà Nam",0934396489
QT Mai Linh,"Thôn 2, Phù Vân, Phủ Lý, Hà Nam",0943599861
QT Số 10 (CTy Đông Phương Hồng) - DS Bùi Thị Phương,"QL 1A, Tổ 1, Thanh Tuyền, Phủ Lý, Hà Nam",0966753222
QT Thu Ngân,"Lý Thường Kiệt, Lê Hồng Phong, Phủ Lý, Hà Nam",0989423273
Quầy thuốc Ánh Nguyệt - NDD: Nguyễn Thị Nguyệt,"Thôn Bùi Nguyễn, Trịnh Xá, Phủ Lý, Hà Nam",0382448189
Công ty TNHH thương mại - dược phẩm Hồng Phúc - QT Minh Khôi,"Chợ Tâng, Thanh Hương, Thanh Liêm, Hà Nam",0333622622
Nhà thuốc tư nhân Nguyên Vũ - NDD: Vũ Thị Đào,"Châu Giang, Kiện Khê, Thanh Liêm, Hà Nam",0971281756
Quầy Thuốc số 15,"Thạch Tổ, Thanh Hà, Thanh Liêm, Hà Nam",0982887515
Quầy thuốc Tân Liên,"Ngã Tư Phố Cà, Thanh Nguyên, Thanh Liêm, Hà Nam",0366998625
Công ty CPTM Dược Hà Nội - Nhà thuốc số 5 - DS Nguyễn Thị Soát,"Số 102, Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội",0942697666
Nhà Thuốc Đức Anh 2-Ds Lê Thị Huyền My,"Số 91.Ngõ 678, Đường La Thành, Giảng Võ, Ba Đình, Hà Nội",0968254828
Nhà thuốc Đức Thành - DS Nguyễn Văn Tâm,"Phòng 101E6, Thành Công, Thành Công, Ba Đình, Hà Nội",0979418308
Nhà thuốc Hoàng Anh _ Ds Nguyễn Thị Thúy Hằng,"Số 81, Nghĩa Dũng, Phúc Xá, Ba Đình, Hà Nội",0981354247
Nhà thuốc Hồng Mai - DS Đặng Thị Duyên Yến,"Số 116A3, Thành Công, Thành Công, Ba Đình, Hà Nội",0949589594
Nhà thuốc Mai Hiên - DS Trần Mạnh Bình,"Số 102A ngõ 35, Kim Mã, Cống Vị, Ba Đình, Hà Nội",0989211272
Nhà thuốc Minh An - DS: Nguyễn Thị Hồng Anh,"Số 186, Ngọc Hà, Ngọc Hà, Ba Đình, Hà Nội",0933998485
Nhà thuốc Minh Quyết - DS Vũ Thị Mai Hoa,"Số 19 ngách 2 ngõ 294, Kim Mã, Kim Mã, Ba Đình, Hà Nội","0987375182, 02437265443"
Nhà thuốc Tân Thủy - DS Thân Thị Hải Hà,"Số 21/72, Phúc Xá, Phúc Xá, Ba Đình, Hà Nội",0972510688
Nhà thuốc tư nhân Hương Giang - DS Nguyễn Đức Vinh,"Số 4 ngõ 53, Linh Lang, Cống Vị, Ba Đình, Hà Nội",0888798789
Nhà thuốc Tư Nhân Ngọc Khánh - DS Trần Thị Bích Ngọc,"Số 2, Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội",0913552831
NT An Khang - DS:Nguyễn Thi Hồng,"Số 156A2 Ngõ 173, Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội",0988871669
NT Gia An - Ds Nguyễn Thị Thúy Oanh,"Số 1C ngõ 379, Đội Cấn, Liễu Giai, Ba Đình, Hà Nội",0824241988
NT Hiền Anh - DS Nguyễn Thị Lan Anh,"Số 18B ngõ 20, Nguyễn Công Hoan, Ngọc Khánh, Ba Đình, Hà Nội",0912556336
NT Hoàng Hương Ds: Phạm Cao Nghiên,"Số 168, Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội",0989321841
NT Ngọc Trang 24H - DS : Nguyễn Thế Chất,"Số 68 ngõ 173, Hoàng Hoa Thám, Ngọc Hà, Ba Đình, Hà Nội",0981223116
NT Ngọc Trang 24h - DS: Phạm Hồng Thắng,"Kios 6 số 120, Đốc Ngữ, Cống Vị, Ba Đình, Hà Nội",0961715699
NT Tâm An - Ds Chử Trọng Hiếu,"Số 140, Sơn Tây, Kim Mã, Ba Đình, Hà Nội","0972721596, 0976370733"
NT Tuyết Nhung 11 Ngọc Hà - DS Nguyễn Thị Tuyết Nhung,"Số 11B, Ngọc Hà, Đội Cấn, Ba Đình, Hà Nội",0904781109
NT Yến Vy - Ds Nguyễn Thị Ngọc Hồi,"Số 30 ngõ 629, Kim Mã, Kim Mã, Ba Đình, Hà Nội","0936696907, 0986718750"
Phòng khám ĐK 589 Hoàng Hoa Thám - Nhà thuốc 589 - DS: Lê Xuân Đức,"Số 589, Hoàng Hoa Thám, Vĩnh Phúc, Ba Đình, Hà Nội",0826247626
(hủy) - NT Mỹ Tâm,"Ngõ 347, Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0989372601
Hủy - NT Bảo Châu - DS Lã Hải Chung - Người đại diệnĐỗ Thị Thu Giang,"Số 396, Đường Trần Cung, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0945353153
Nhà Thuốc Bảo Ngọc - DS Phạm Hải Yến,"Số 361, Hoàng Công Chẩt, Phú Diễn, Bắc Từ Liêm, Hà Nội","0963365493, 0983208803"
Nhà thuốc Gia Minh - DS Nguyễn Thị Hiền,"số 30 ,xóm mới ,nguyên xá, ngõ 162 cầu diễn, Minh Khai, Bắc Từ Liêm, Hà Nội",0368295485
Nhà thuốc Hà Trang - DS Nguyễn Văn Hưng,"số 3 ngõ 2, Kiều Mai, Phúc Diễn, Bắc Từ Liêm, Hà Nội",0989660201
Nhà thuốc Hải Hà - DS Nguyễn Thu Hà,"Số 55 Đường Văn Trì, TDP Văn Trì 3, Minh Khai, Bắc Từ Liêm, Hà Nội",0988356478
Nhà Thuốc Hải Yến - Ds: Bùi Thị Thúy Hạnh,"Số 33 Ngõ 123, Thụy Phương, Thụy Phương, Bắc Từ Liêm, Hà Nội",0376546668
Nhà thuốc Kim Ngân - DS Triệu Thị Nhung,"Số 15 Ngõ 32, Phố Viên Phường, Đức Thắng, Bắc Từ Liêm, Hà Nội",0387885883
Nhà Thuốc Minh Quang - DS: Lê Thị Thu Thủy,"Số 11, Xuân Lộc 1 ngách 397/2/17 Phạm Văn Đồng , Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",0972444568
Nhà Thuốc Minh Tiến-Ds: Nguyễn Duy,"Số 101, Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",0366768778
Nhà thuốc Nguyên Xá DSPT: Bùi Thanh Huyền,"81 ngõ 134, Cầu diễn, Nguyên Xá, Minh Khai, Bắc Từ Liêm, Hà Nội",0336474537
Nhà thuốc Thái Dương - DS Nguyễn Văn Sơn,"Sôố 8, Tổ 10, Phúc Diễn, Bắc Từ Liêm, Hà Nội",0949969508
Nhà Thuốc Tư Nhân Minh Trang - DS Kiều Thị Hường,"Tổ 16, Phú Diễn, Bắc Từ Liêm, Hà Nội",0975351941
Nhà thuốc Vân Hà -DS: Vũ Duy Biên,"Số 78 Đường Cổ Nhuế , ( trên biển 475 Phạm Văn Đồng ), Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",0903250501
NT An Phương - DS Trần Văn Quyết,"Số 9 Khu 212, Tân Xuân 3, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",0968077390
NT ánh Dương - DS Phạm Việt Linh,"Số 22, Nguyên Xá, Minh Khai, Bắc Từ Liêm, Hà Nội",0946858136
NT Bảo Ngọc - DS Nguyễn Thị Hạnh Châu,"Số 2 Ngõ 193, Phú Diễn, Phú Diễn, Bắc Từ Liêm, Hà Nội",0385653357
NT Bình Minh - DS Lê Thị Minh,"88, Tây Tựu , Tây Tựu, Bắc Từ Liêm, Hà Nội",0983882855
NT Cộng Đồng - DS: Lê Bá Năm,"Tổ Dân Phố, Số 8, Phúc Diễn, Bắc Từ Liêm, Hà Nội",0384318986
NT Hải Đăng - dspt: Tống thị mỹ thanh,"Số 40, Phú Kiều, Phúc Diễn, Bắc Từ Liêm, Hà Nội",0963464586
NT Hải Thủy 2 - DS Phạm Thanh Huyền,"Số160, Trần Cung, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0947081972
NT Hồng Tuấn - DS Chu Thị Thủy,"Số 164 Ngõn 43, Cổ Nhuế 2, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",0936409091
NT Huyền - DS: Trần Thị Thu Phương,"số 5 , Cầu Diễn, Phúc Diễn, Bắc Từ Liêm, Hà Nội",0965165536
NT Phạm Thị Ngọc Bách - DS Cao Văn Quân,"Tổ Dân Phố, Phố Nhật Tảo, Đông Ngạc, Bắc Từ Liêm, Hà Nội",0966147690
NT Phúc Hải - DS: Đỗ Thị Hiên,"Số 522, Trần Cung, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0986496762
NT Tâm An - DS Nguyễn Thị Thanh,"Số 43/75, Phú Diễn, Phú Diễn, Bắc Từ Liêm, Hà Nội",0399163270
NT Thanh Huê - DS: Quản Thị Hiền,"204 , Trung Kiên, Tây Tựu, Bắc Từ Liêm, Hà Nội",0973466847
NT Thảo Phương - DS Hoàng Ngọc Mai,"Số 6, Ngõ 193 Phú Diễn, Phú Diễn, Bắc Từ Liêm, Hà Nội",0961745136
Nt Thuỷ Phượng DSPT: Nguyễn Thị Yên,"Số 6, Phố Kỳ Vũ, Thượng Cát, Bắc Từ Liêm, Hà Nội",0982682610
NT Tín Nghĩa -DSPT: Trần Anh Tuấn,"Số 5, Phố Kỳ Vũ, Thượng Cát, Bắc Từ Liêm, Hà Nội",0977217660
NT tư nhân - DS Vũ Thị Huyền,"Số 36, Phúc Lý, Minh Khai, Bắc Từ Liêm, Hà Nội",0353299824
NT Vĩnh Phúc 6 - DS Nguyễn Thị Phương Ngọc,"Số 4 A6, Tầng 1, An Bình, KĐT Thành Phố Giao Lưu, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0912100549
NT Vũ Bảo - DS : Lê thị Phương Loan,"Số 432 Phố Trần Cung , , Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0899665665
Quầy thuốc tư nhân - DS Lê Thị Thảo,"Số 66 ngõ 23 Đức Diễn , Đức Diễn, Phú Diễn, Bắc Từ Liêm, Hà Nội",0845260882
Hủy - Nhà Thuốc Huệ Dương,"Số 65, Đường 800A, Nghĩa Đô, Cầu Giấy, Hà Nội",0967340937
Hủy - NT Minh Hạnh - DS Nguyễn Ngọc Thịnh,"17T9, Trung Hòa Nhân Chính, Trung Hoà, Cầu Giấy, Hà Nội",0988844155
Nhà thuốc 34 - DS Lê Thúy Hằng,"Số 34, Đường Dương Quảng Hàm, Quan Hoa, Cầu Giấy, Hà Nội",0943736666
Nhà thuốc 68 Trần Bình- DS Nguyễn Minh Luyến,"Số 68, Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội",0986086668
Nhà thuốc An Bình - DS Nguyễn Thị Thu Thủy,"Căn hộ 106.TT. Địa Chính nhà đất, Mạc Thái Tổ, Yên Hoà, Cầu Giấy, Hà Nội",0973220991
Nhà thuốc Anh Tuấn - DS Đỗ Thị Cẩm Nhung,"Số 4 ngõ 63 Trần Quốc Vượng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",0916067506
Nhà Thuốc Bảo An,"số 249, Mai Dịch, Mai Dịch, Cầu Giấy, Hà Nội",0985982610
Nhà thuốc Canada-Ds: Phạm Ngọc Thuân,"Số 32 ngõ 110, Trung Kính, Trung Hoà, Cầu Giấy, Hà Nội",0964221996
Nhà thuốc Hải Khanh- DS Đỗ Thị Thu,"Số 29/58, Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy, Hà Nội",0975703768
Nhà thuốc Loan Trần -DS: Ngô Đức Liêm,"117A, Trung Kính, Trung Hoà, Cầu Giấy, Hà Nội",0904195599
Nhà Thuốc Mai Thanh - Bùi Thị Diệp,"Số 27, Ngõ 260, Tổ 22, Quan Hoa, Cầu Giấy, Hà Nội",0943237688
Nhà thuốc Minh Phương - DS Nguyễn Thị Lâm,"P101 - C1, Nghĩa Tân, Nghĩa Tân, Cầu Giấy, Hà Nội",0966400095
Nhà Thuốc Nhân Dân 38 - D/S Ngô Xuân Khánh,"Số 38/89, Lạc Long Quân, Nghĩa Đô, Cầu Giấy, Hà Nội",0935999500
Nhà thuốc Quỳnh Thư - DS: Trần Giang Nam,"Số 128 Ngõ 189, Nguyễn Ngọc Vũ, Trung Hoà, Cầu Giấy, Hà Nội",0986190725
Nhà thuốc Thanh Mai - DS Đỗ Thị Tố Uyên,"Số 73 ngõ 68,, Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",0327449802
Nhà thuốc Thu Hằng - DS Nguyễn Thị Thu Hằng,"Số 71, Lạc Long Quân, Nghĩa Đô, Cầu Giấy, Hà Nội",0969389801
Nhà thuốc Thu Nga - DS Nguyễn Văn Nhượng,"Số 173, Doãn Kế Thiện, Mai Dịch, Cầu Giấy, Hà Nội",0984840686
Nhà Thuốc Trường Phúc - DS Triệu Thị Tuyết Vân,"Số 29 Ngõ 165, Cầu Giấy, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",0911638189
Nhà thuốc Trường Giang- DS Nguyễn Thanh Vân.,"Số 53 Ngõ 76, Mai Dịch, Mai Dịch, Cầu Giấy, Hà Nội",0382688088
NT An Phát- Ds:Nguyễn Thị Minh Tâm,"Số 115, Nguyễn Khang, Yên Hoà, Cầu Giấy, Hà Nội",0978585791
NT An Tâm - DS: Vũ Thị Phượng,"Số 15C Ngõ 110, Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",0904104448
NT An Thái_Ds Lê Văn Cường,"Số 265,tổ 11, Doãn Kế Thiện, Mai Dịch, Cầu Giấy, Hà Nội",0389192819
NT Anh Tuấn - DS Nguyễn Kiều Oanh,"13/79, Cầu Giấy, Quan Hoa, Cầu Giấy, Hà Nội",0393869475
NT Đỗ Thùy Lan - DS Đỗ Thùy Lan,"Số 6 ngõ 100, Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội",0969071783
NT Hoàng Minh - DS: Kiều Thị Bích,"Số 237, Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",0985867824
NT Linh Pharmacy - DS: Mai Hương Cẩm,"số 31 , Đường 800A, Nghĩa Đô, Cầu Giấy, Hà Nội",0868296259
NT Minh Hạnh - DSPT: Trần Thị Hòa,"Tầng 1 Nhà C2 Toàn Vinaconex 1 289, Khuất Duy Tiến, Trung Hoà, Cầu Giấy, Hà Nội",0373424719
NT Ngọc Huyền - DS Trần Thị Phương Thảo,"Số 63A, Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà Nội",0986306994
NT Nhân Dân 2 - DS Trần Thị Điểm Anh,"Số 87, Hoa Bằng, Yên Hoà, Cầu Giấy, Hà Nội",0982055403
NT Nhân Dân Số 9 - DS: Nguyễn Hoàng Việt,"số 6 Ngõ 72 Dịch vọng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",0945368133
NT Nhân Dân Số 9 -DS: Vũ Thị Yến,"Số 88, Dịch Vọng, Dịch Vọng, Cầu Giấy, Hà Nội",0866885179
NT Thanh Trang - Ds: Nguyễn Thanh Thanh Trà,"Số N02 ngõ 259 Yên Hoà , Yên Hoà, Cầu Giấy, Hà Nội",0392338345
NT Thanh Tú - DSPT : Nhữ Thị Mỹ Dung,"Số 23 ngõ 58 , Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội",0383151115
NT Thu Hoài - DS Lê Thị Thu Hoài,"Số 73 Ngõ 79 Đường, Cầu Giấy, Quan Hoa, Cầu Giấy, Hà Nội",0919148822
NT Trung Hiếu - DS:Vũ Thị Tám Quyên,"Số 49, Nguyễn Khang, Trung Hoà, Cầu Giấy, Hà Nội",0394425868
NT tư nhân - DS Phạm Thị Phương,"Số 2A, Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",0984989003
NT Viên Hạnh - DS Vũ Thị Tích Phương,"Số 60 Ngõ 58, Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội",0946629699
Nhà thuốc 101 - Ds Nguyễn Thị Huệ Anh,"Số 101, Lê Duẩn, Phương Liên, Đống Đa, Hà Nội",0338892886
Nhà Thuốc Đức Hải - DS Nguyễn Thị Lý,"Số 25 Ngõ Thông Phong, Tôn Đức Thắng, Hàng Bột, Đống Đa, Hà Nội",0915365562
Nhà Thuốc Hải Đăng - DS Hoàng Thị Lệ Thủy,"Số 5C5, Lương Đình Của, Phương Mai, Đống Đa, Hà Nội",0982460776
Nhà thuốc Hoàng Hương - DS Nguyễn Thị Thanh Hương,"Số 51 Vũ Thạnh, Ô Chợ Dừa, Đống Đa, Hà Nội",0358025235
